site,burial,sex,age,layer,section,quadrant,half_A_B,half_C_D,component,element_1,element_2,bone,area,side,P1,P2,P3,mosaic,longitudinal,transversal,curved,bulls_eye,deformation,twisting,concretion,red_brown,yellow,green,manganese,cm_0_1,cm_1_2,cm_2_3,cm_3_4,cm_4_5,over_cm_5,weight_gr,total_element,total_urn,total_section,total_half_A_B,total_half_C_D
VFT,29,ND,Non-adult (3-5 yrs),1,upper,1,half_A,half_C,F,CB,Cr,I,I,I,,,6,3,,,,,1,,1,,,,,4,2,,,,,0.98,6,826,112,168,215
VFT,29,ND,Non-adult (3-5 yrs),1,upper,2,half_B,half_C,F,CB,Cr,I,I,I,,,12,4,,,,,3,,,,,,,5,7,,,,,1.24,12,826,112,249,215
VFT,29,ND,Non-adult (3-5 yrs),1,upper,2,half_B,half_C,C,LB,D,I,I,I,,,3,,,,,,,,,,,1,,2,1,,,,,0.32,3,826,112,249,215
VFT,29,ND,Non-adult (3-5 yrs),1,upper,2,half_B,half_C,F,CB,Cr,I,I,I,,,1,1,,,,,1,,,,,,,,1,,,,,0.37,1,826,112,249,215
VFT,29,ND,Non-adult (3-5 yrs),1,upper,Si,,,F,CB,Cr,I,I,I,,,3,1,,,,,,,,,,,,2,1,,,,,0.23,3,826,112,,
VFT,29,ND,Non-adult (3-5 yrs),1,upper,Si,,,C,C,I,I,I,I,,,2,,,,,,,,,,,,,2,,,,,,0.03,2,826,112,,
VFT,29,ND,Non-adult (3-5 yrs),1,upper,4,half_A,half_D,F,CB,Cr,I,I,I,,,8,4,,,,,,,,2,,,,5,3,,,,,1.36,8,826,112,168,202
VFT,29,ND,Non-adult (3-5 yrs),1,upper,1,half_A,half_C,F,CB,Cr,I,I,I,,,7,2,,,1,,,,,,,,,4,3,,,,,1.02,7,826,112,168,215
VFT,29,ND,Non-adult (3-5 yrs),1,upper,1,half_A,half_C,F,CB,Cr,I,I,I,,,8,1,,,,,2,,,,,,,6,2,,,,,1.23,8,826,112,168,215
VFT,29,ND,Non-adult (3-5 yrs),1,upper,1,half_A,half_C,C,LB,D,I,I,I,,,1,,,,,,,,,,,,,,1,,,,,0.1,1,826,112,168,215
VFT,29,ND,Non-adult (3-5 yrs),1,upper,1,half_A,half_C,C,C,I,I,I,I,,,4,,,,,,,,,,,,,4,,,,,,0.2,4,826,112,168,215
