site,burial,sex,age,layer,section,quadrant,half_A_B,half_C_D,component,element_1,element_2,bone,area,side,P1,P2,P3,mosaic,longitudinal,transversal,curved,bulls_eye,deformation,twisting,concretion,red_brown,yellow,green,manganese,cm_0_1,cm_1_2,cm_2_3,cm_3_4,cm_4_5,over_cm_5,weight_gr,total_element,total_urn,total_section,total_half_A_B,total_half_C_D
VFT,29,ND,Non-adult (3-5 yrs),1,upper,1,half_A,half_C,T,CB,B,M1,Cro,L,,,1,1,,,,,,,,,,,,1,,,,,,0.29,1,826,112,168,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,8,half_A,half_D,Ir,CB,Cr,Pp,Me,L,,,1,,,,,,,,,,,,,,1,,,,,2.28,1,826,304,168,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,T,CB,B,In1,Cro,L,,,1,1,,,,,,,,,,,1,1,,,,,,0.17,1,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,9,half_A,half_C,Ir,CB,Cr,Pp,Me,R,,,1,,1,,,,,,,,,,,,1,,,,,2.31,1,826,410,168,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,M1,Cro,L,,,2,,,,1,,,,,,,,,,2,,,,,0.79,2,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,M1,Cro,R,,,1,1,,,,,,,,,,,,,1,,,,,0.81,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In1,Cro,L,,,1,,1,,,,,,,,,,,1,,,,,,0.15,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,M1,Cro,R,,,1,,,,1,,,,,,,,,,1,,,,,0.34,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In2,Cro,L,,,1,,,,,,,,,,,,,1,,,,,,0.03,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In2,Cro,R,,,1,,,,,,,,,,,,,1,,,,,,0.07,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In1,Cro,R,,,2,1,,,,,,,,,,,,2,,,,,,0.1,2,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,Ca,Cro,I,,,1,,,,,,,,,,,,,1,,,,,,0.1,1,826,410,,
