"site","burial","age","section","half_A_B","half_C_D","element_1","total_element"
"VFT","29","Non-adult ","upper","half_A","half_C","CB",6
"VFT","29","Non-adult ","upper","half_A","half_C","CB",6
"VFT","29","Non-adult ","upper","half_A","half_C","CB",6
"VFT","29","Non-adult ","upper","half_A","half_C","CB",6
"VFT","29","Non-adult ","upper","half_A","half_C","CB",6
"VFT","29","Non-adult ","upper","half_A","half_C","CB",6
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","CB",12
"VFT","29","Non-adult ","upper","half_B","half_C","LB",3
"VFT","29","Non-adult ","upper","half_B","half_C","LB",3
"VFT","29","Non-adult ","upper","half_B","half_C","LB",3
"VFT","29","Non-adult ","upper","half_B","half_C","CB",1
"VFT","29","Non-adult ","upper",NA,NA,"CB",3
"VFT","29","Non-adult ","upper",NA,NA,"CB",3
"VFT","29","Non-adult ","upper",NA,NA,"CB",3
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_D","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",7
"VFT","29","Non-adult ","upper","half_A","half_C","CB",7
"VFT","29","Non-adult ","upper","half_A","half_C","CB",7
"VFT","29","Non-adult ","upper","half_A","half_C","CB",7
"VFT","29","Non-adult ","upper","half_A","half_C","CB",7
"VFT","29","Non-adult ","upper","half_A","half_C","CB",7
"VFT","29","Non-adult ","upper","half_A","half_C","CB",7
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","CB",8
"VFT","29","Non-adult ","upper","half_A","half_C","LB",1
"VFT","29","Non-adult ","upper","half_A","half_C","SB",1
"VFT","29","Non-adult ","upper","half_B","half_C","CB",7
"VFT","29","Non-adult ","upper","half_B","half_C","CB",7
"VFT","29","Non-adult ","upper","half_B","half_C","CB",7
"VFT","29","Non-adult ","upper","half_B","half_C","CB",7
"VFT","29","Non-adult ","upper","half_B","half_C","CB",7
"VFT","29","Non-adult ","upper","half_B","half_C","CB",7
"VFT","29","Non-adult ","upper","half_B","half_C","CB",7
